Data,Descrição,Valor (R$)
28/07/24,EXTREME NUTRITION,80.0
28/07/24,SUPER MUFFATO,123.12
29/07/24,MORBEH SUPERMERCA,7.99
30/07/24,MORBEH SUPERMERCA,3.89
01/08/24,MORBEH SUPERMERCA,3.69
02/08/24,MORBEH SUPERMERCA,5.76
03/08/24,MBSORVETESEIRELI,14.0
03/08/24,PRIMATO 15,3.4
04/08/24,PRIMATO,32.2
05/08/24,MORBEH SUPERMERCA,2.07
06/08/24,MORBEH SUPERMERCA,1.18
06/08/24,PEDRO GIORDANI REFEICOE,7.0
08/08/24,BRFTOLEDOCOMERCIO,4.0
08/08/24,LAFEMMETOLED,15.0
08/08/24,UBER* TRIP,16.49
09/08/24,PEDRO GIORDANI REFEICOE,7.0
10/08/24,VULSAN CICLES,25.0
10/08/24,MORBEH SUPERMERCA,6.14
13/08/24,PEDRO GIORDANI REFEICOE,5.5
13/08/24,MAJU LANCHES,3.0
13/08/24,PRIMATO 15,22.04
13/08/24,LIVRARIA BARAO,3.0
13/08/24,MORBEH SUPERMERCA,2.07
15/08/24,MORBEH SUPERMERCA,2.9
16/08/24,PEDRO GIORDANI REFEICOE,3.5
16/08/24,PRIMATO 15,8.2
17/08/24,REAL MIX,31.84
17/08/24,MASTER PASTELARIA,6.0
17/08/24,PRIMATO,23.34
19/08/24,MORBEH SUPERMERCA,7.69
20/08/24,PEDRO GIORDANI REFEICOE,3.5
21/08/24,PEDRO GIORDANI REFEICOE,3.5
21/08/24,FARMACIA E DROGARIA NIS,79.75
22/08/24,PEDRO GIORDANI REFEICOE,3.5
23/08/24,PEDRO GIORDANI REFEICOE,7.0
23/08/24,MAXIMO 12 - TOLEDO,2.0
24/08/24,AMAZON DIGITAL BR,0.9
24/08/24,LAFEMMETOLED,6.8
24/08/24,MORBEH SUPERMERCA,4.19
26/08/24,PEDRO GIORDANI REFEICOE,3.5
27/08/24,REAL MIX,7.96
